iter	Passed	Remaining
0	164	164085
1	166	82897
2	168	56160
3	172	42844
4	175	34866
5	178	29521
6	180	25601
7	182	22653
8	184	20351
9	185	18400
10	187	16849
11	188	15560
12	190	14470
13	191	13498
14	192	12644
15	193	11912
16	194	11269
17	196	10696
18	197	10177
19	197	9683
20	198	9275
21	199	8890
22	201	8540
23	202	8223
24	203	7931
25	204	7661
26	205	7414
27	206	7181
28	208	6965
29	208	6755
30	210	6566
31	210	6369
32	211	6204
33	212	6042
34	213	5898
35	215	5763
36	216	5632
37	217	5507
38	218	5385
39	219	5269
40	220	5158
41	221	5053
42	222	4942
43	223	4846
44	224	4754
45	225	4666
46	226	4583
47	226	4501
48	227	4424
49	229	4354
50	230	4290
51	231	4223
52	231	4145
53	232	4081
54	234	4020
55	235	3961
56	236	3904
57	236	3848
58	237	3795
59	238	3743
60	239	3691
61	240	3641
62	241	3593
63	242	3547
64	243	3502
65	244	3455
66	245	3417
67	246	3374
68	247	3335
69	248	3296
70	249	3258
71	249	3222
72	250	3185
73	251	3150
74	252	3116
75	253	3083
76	254	3051
77	255	3019
78	256	2989
79	257	2961
80	258	2933
81	259	2908
82	261	2884
83	262	2859
84	263	2832
85	264	2808
86	265	2782
87	266	2758
88	267	2735
89	268	2711
90	269	2688
91	270	2665
92	271	2643
93	272	2622
94	273	2600
95	273	2574
96	274	2553
97	275	2536
98	276	2519
99	277	2500
100	278	2475
101	279	2456
102	279	2437
103	280	2419
104	281	2401
105	282	2384
106	283	2363
107	284	2346
108	284	2326
109	285	2310
110	286	2294
111	287	2278
112	288	2263
113	289	2248
114	290	2233
115	291	2222
116	293	2211
117	294	2198
118	295	2184
119	296	2171
120	297	2157
121	297	2144
122	298	2131
123	299	2118
124	300	2106
125	301	2093
126	302	2081
127	303	2069
128	304	2058
129	305	2046
130	306	2036
131	308	2027
132	309	2016
133	310	2004
134	311	1993
135	311	1980
136	312	1969
137	313	1959
138	314	1948
139	315	1938
140	316	1928
141	317	1918
142	318	1908
143	319	1898
144	320	1888
145	321	1879
146	322	1871
147	323	1863
148	324	1855
149	325	1844
150	326	1835
151	327	1826
152	328	1818
153	329	1809
154	330	1801
155	331	1793
156	332	1784
157	333	1776
158	334	1768
159	335	1760
160	336	1751
161	337	1744
162	338	1737
163	339	1731
164	340	1724
165	341	1717
166	342	1709
167	343	1702
168	344	1695
169	345	1687
170	346	1680
171	347	1673
172	348	1666
173	349	1659
174	350	1652
175	351	1646
176	352	1639
177	353	1632
178	354	1627
179	356	1622
180	357	1616
181	358	1609
182	359	1603
183	359	1596
184	360	1590
185	361	1583
186	362	1577
187	363	1570
188	364	1563
189	365	1557
190	366	1551
191	367	1545
192	368	1539
193	368	1532
194	370	1528
195	371	1523
196	372	1517
197	373	1512
198	374	1506
199	375	1501
200	376	1495
201	377	1490
202	378	1484
203	379	1479
204	380	1474
205	381	1468
206	382	1463
207	382	1458
208	383	1452
209	384	1447
210	386	1443
211	387	1439
212	388	1434
213	389	1429
214	390	1424
215	391	1419
216	392	1414
217	393	1409
218	394	1405
219	395	1401
220	396	1396
221	397	1392
222	398	1388
223	399	1383
224	400	1379
225	401	1375
226	403	1372
227	404	1368
228	404	1362
229	405	1358
230	406	1354
231	407	1349
232	408	1345
233	409	1340
234	410	1336
235	411	1332
236	412	1328
237	413	1324
238	414	1319
239	415	1315
240	416	1311
241	417	1308
242	419	1305
243	420	1301
244	421	1297
245	422	1293
246	423	1289
247	423	1285
248	424	1281
249	425	1277
250	426	1273
251	427	1269
252	428	1265
253	429	1262
254	430	1258
255	431	1254
256	432	1251
257	434	1249
258	435	1245
259	436	1242
260	437	1238
261	438	1234
